UOF #,CAD#,Offense,Disposition,Date,Sex,Race,Age,Charges,Dialog,HandStrike,Vertical Stun,Decentralizatio,Forearm Strike,Batons,Wrist Compressio,KneeStrke,Less than Lethal,OC,FootStrike,K9Bite,Pressure Points,DiffusedStrike,Firearm,Conducted Energy Device,Other,Alcohol Use,Drug
UOF19-001A,BE1900763,Domestic Violence,Criminal Arrest,2019-01-06,M,W,26,DC/Battery DV,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,Yes
UOF19-001B,BE1900763,Domestic Violence,Criminal Arrest,2019-01-06,M,W,26,DC/Battery DV,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,Yes
UOF19-002,BE1900763,Domestic Violence,Criminal Arrest,2019-01-06,M,W,26,DC/Battery DV,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-003,BE1900981,"Warrant - Bench,AWC",Criminal Arrest,2019-01-08,M,W,23,Resist/Bail Jumping,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,Yes,Yes
UOF19-004,BE1901518,"Assault, Police, Simple",Criminal Arrest,2019-01-10,M,B,29,"POCS WITD cocaine, battery to LE, resist/obstruct, warrants, bail jumping",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,modified passive countermeasures,No,No
UOF19-005,BE1900912,Warrant Arrest,Criminal Arrest,2019-01-07,F,B,21,Warrants,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-006A,BE1901562,Warrant Arrest,Criminal Arrest,2019-01-11,M,B,40,Probation violation warrant,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-006B,BE1901562,Warrant Arrest,Criminal Arrest,2019-01-11,M,B,40,Probation violation warrant,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-007A,BE1901779,Resist or Interfere w/Police,Criminal Arrest,2019-01-12,F,W,16,DC Resit/Obstr,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-007B,BE1901779,Resist or Interfere w/Police,Criminal Arrest,2019-01-12,F,W,16,DC Resit/Obstr,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF19-008,BE1901697,5115 Mental Commitment,Emergency Detention Arrest,2019-01-12,M,B,28,Emergency Detention,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-009A,BE1902180,Obstructing Justice,Criminal Arrest,2019-01-15,M,W,35,"Felon in Possession firearm, Resist arrest, CCW, bail jumping",Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,Yes
UOF19-009B,BE1902180,Obstructing Justice,Criminal Arrest,2019-01-15,M,W,35,"Felon in Possession firearm, Resist arrest, CCW, bail jumping",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes
UOF19-010A,BE1902180,Weapons Offense,Criminal Arrest,2019-01-15,M,W,35,"Felon in Possession firearm, Resist arrest, CCW, bail jumping",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,stabiliization in hospital bed,Yes,Yes
UOF19-010B,BE1902180,Weapons Offense,Criminal Arrest,2019-01-15,M,W,35,"Felon in Possession firearm, Resist arrest, CCW, bail jumping",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,stabiliization in hospital b ed,Yes,Yes
UOF19-010C,BE1902180,Weapons Offense,Criminal Arrest,2019-01-15,M,W,35,"Felon in Possession firearm, Resist arrest, CCW, bail jumping",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,stabiliization in hospital b ed,Yes,Yes
UOF19-011A,BE1905361,Disorderly Conduct,Juvenile Referral,2019-02-05,M,B,13,DC,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Taken to floor in cafeteria, stabilization",No,No
UOF19-011B,BE1905361,Disorderly Conduct,Juvenile Referral,2019-02-05,M,B,13,DC,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Taken to floor in cafeteria, stabilization",No,No
UOF19-012,BE1905026,"Warrant - Bench,AWC",Criminal Arrest,2019-02-02,M,W,39,Warrant,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,Yes,No
UOF19-013,BE1905035,Disorderly Conduct,No Arrest,2019-02-03,F,W,27,DC,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive countermeasures,Yes,No
UOF19-014A,BE1906386,Weapons Offense,Criminal Arrest,2019-02-13,M,B,21,"Warrant, Prwoling, Resi/Obstr, FIPOF, Possesss stolen property (firearms)",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF19-014B,BE1906386,Weapons Offense,Criminal Arrest,2019-02-13,M,B,21,"Warrant, Prwoling, Resi/Obstr, FIPOF, Possesss stolen property (firearms)",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
